,id,module_id,title,description,duration
0,468,8,01: Welcome to The Course,A quick introduction and welcome to the course with some key information to get started.,1493.035
1,469,8,02: Course Motivation and Overview,The grand vision of the course as of March 2021.,0.0
2,470,8,03: Common Misconceptions About Programming,Learning a programming language is different from other things you've learned.  In this exercise I give you helpful tips on how to better succeed.,0.0
3,471,8,04: Setup for Windows,Getting your Windows 10 computer ready to code.,1882.936
4,472,8,05: Setup for OSX,Setting up your OSX/Mac computer for code.,1501.155
5,473,8,06: Setup for Linux or WSL,"Getting a Linux system ready, or using Windows Subsystem for Linux.",1360.341
6,474,8,07: PowerShell Basics,Learning to use enough PowerShell to complete the course.,2027.03
7,475,8,08: Bash Basics,"A quick introduction to bash if you run Linux, WSL, or OSX.",2360.512
8,476,8,09: Available Help Resources,The general technical help resources available for you as a customer of the course.,0.0
9,477,8,10: Next Steps,What you should be doing next.,0.0
10,478,9,00: Gearing Up,Getting the software you need to finish this module.,955.589
11,479,9,01: A First Program,Your very first JavaScript program.,470.302
12,480,9,02: Comments,How to comment out parts of your code and write help for your future self.,264.342
13,481,9,03: Simple Math and Strings,Doing simple math and creating displayable text in strings.,634.342
14,482,9,04: Variables,Variables for storing and referencing information.,758.062
15,483,9,05: Constants,Constants are variables that you claim will not change.,320.222
16,484,9,06: Escape Sequences,When you write a string how do you put a string in it?,229.902
17,485,9,07: Prompting Input,Asking a person for input from the terminal.,620.422
18,486,9,08: Command Line Arguments,Accepting input from the user as command line options on your script.,624.382
19,487,9,09: Files,Reading files with the fs (filesystem) module.,578.622
20,488,9,"10: Files, Args, and Variables",Combining reading files with accepting command line arguments.,351.262
21,489,9,11: Functions,Creating small pieces of code and jumping to them with functions.,1542.902
22,490,9,"12: Functions, Files, Variables","Combining everything learned so far with functions, files, and variables in one.",529.022
23,491,9,13: Modules,Packing a group of related files into a single component called a module.,412.342
24,492,9,14: True and False Tests,The start of logic comparison operations.,888.222
25,493,9,15: If and Else,The introduction of branching with if and else.,309.702
26,494,9,16: While Loops,The concept of repeating a block of code with a while-loop.,452.102
27,495,9,17: Sequences and For Loops,Lists of data and enumerating them with a for-loop.,1049.182
28,496,9,18: More Arrays,Studying Arrays even more and becoming proficient at nesting them.,409.862
29,497,9,19: Data Objects,First step with objects just for key/value data.,1159.662
30,498,9,20: First Game,Creating a little game to combine everything learned thus far.,555.542
31,499,9,21: Simple OOP,Going from Data Objects and Functions to Object Oriented Programming.,1349.662
32,500,9,22: More Complex OOP,Using the new ES6 style of classes is much better than the last exercise's classes.,648.622
33,501,9,23: Inheritance,Learning about the concept of inheritance in OOP.,1134.742
34,502,9,24: OOP Game,Creating an OOP version of our little game.,1071.142
35,503,9,25: Functions and Recursion,Studying a complex use of functions calling their self to do a loop.,398.302
36,504,9,26: Transforming Data,Processing Arrays with handy functions and callbacks like map and reduce.,955.982
37,505,9,27: Applying Functions,You can chain sequences of functions together to perform more complex sequences of operations.,144.982
38,506,9,28: Scope and Closures,The concept of scope in ES6 vs. older JavaScript and why you should use let and const instead of var.,453.102
39,507,9,29: Partial Application,A more complicated technique to push your understanding of callbacks and filters.,470.862
40,508,9,"30: Callbacks, Events, Promises and Async","This exercise covers the many, many, many ways that JavaScript handles asynchronous events.",2058.942
41,509,9,31: Modules and `import`,The final exercise covers the use of import and modern ES6 modules.,860.102
42,53217,10,00: Introduction,The basics of Web Development.,0.0
43,53218,10,01: Processing Directories of Files,Processing Directories of Files,0.0
44,53219,10,02: Dynamically Loading Modules,Dynamically Loading Modules,0.0
45,53220,10,03: A Static Blog Generator,A Static Blog Generator,0.0
46,53221,10,04: A Blog Server,A Blog Server,0.0
47,53222,10,05: Creating a Comment Form,Creating a Comment Form,0.0
48,53223,10,06: Alpine.js Crash Course,Alpine.js Crash Course,0.0
49,53224,10,07: Better Comments with Alpine.js,Better Comments with Alpine.js,0.0
50,53225,10,08: The SQL Crash Course,The SQL Crash Course,0.0
51,53226,10,09: SQL Normalization,SQL Normalization,0.0
52,53227,10,10: SQL Relationships,SQL Relationships,0.0
53,53228,10,11: Basic SQL with Knex.js,Basic SQL with Knex.js,0.0
54,53229,10,12: Storing Comments in SQL,Storing Comments in SQL,0.0
55,53230,10,13: Form Validation,Form Validation,0.0
56,53231,10,14: Better Password Storage,Better Password Storage,0.0
57,53232,10,15: Dynamically Loaded Server,Dynamically Loaded Server,0.0
58,53233,10,16: Going Further,Going Further,0.0
59,855,58,01: CSS and HTML,The relationship between CSS and HTML.,773.718
60,856,58,02: The Setup,Setting up the JavaScript gear you need to use.,676.944
61,857,58,03: Rule Sets,"The initial format for a CSS rule, and how selectors work.",889.494
62,858,58,04: Simple Styling,An initial set of useful properties for CSS that should cover 90% of your uses.,1421.722
63,859,58,05: Value (Not Color) Codes,Using monochrome values instead of color codes to simplify your process.,982.083
64,860,58,06: Variables,Using variables to simplify CSS and making changes easier.,476.043
65,861,58,07: Flexbox Basics,Introducing Flexbox for consistent modern layout.,2129.03
66,862,58,08: Grid Basics,Introduction to using CSS grids for uniform layout.,673.942
67,863,58,09: A Frontend Development Process,I explain a process for taking your front end ideas (or copy subjects) from nothing to working user interface using blockstart.css.,1588.317
68,864,58,10: Frontend Development Process Stages 3 and 4,Breaking away from blockstart.css to create the final look of the subject website from Exercise 9.,2692.17
69,865,60,01: Elements,Introducing basic terminology for HTML.,1850.219
70,866,60,02: Tags in Detail,A quick reference of the major HTML tags you'll use the most.,1294.061
71,867,60,03: Attributes,"Learn about how attributes modify tags, and aren't used much anymore.",853.035
72,868,60,04: Links,Learn how to link to another HTML document.,1202.475
73,869,60,05: Important Attributes,A list of the major attributes on tags you'll most likely use.,1063.04
74,870,60,06: The DOM,Explain the Document Object Model and how nested tags work.,957.888
75,871,60,07: Tables,Focus on tables for tabular data.,376.256
76,872,60,08: Forms,Focus on forms for collecting information from the user and submitting it.,1184.278
77,873,60,09: Custom Tags,"An explanation of using your own tags, why that's the easiest way to work, followed by a challenge.",711.104
78,874,60,10: Simple Layouts with Blockstart,Bridging from HTML to CSS using blockstart.css,1614.016
79,407,4,0: Gearing Up,This exercise has no code.,4461.883
80,408,4,1: A Good First Program,"If you skipped Exercise 0, then you are not doing this book right.",0.0
81,409,4,2: Comments and Pound Characters,Comments are very important in your programs.,0.0
82,410,4,3: Numbers and Math,Every programming language has some kind of way of doing numbers and math.,0.0
83,411,4,4: Variables and Names,Now you can print things with `print` and you can do math.,0.0
84,412,4,5: More Variables and Printing,Now we'll do even more typing of variables and printing them out.,0.0
85,413,4,6: Strings and Text,"While you have been writing strings, you still do not know what they do.",0.0
86,414,4,7: Combining Strings,Now we are going to do a bunch of exercises where you just type code in and make it run.,0.0
87,415,4,8: Formatting Strings Manually,We will now see how to do a more complicated formatting of a string.,0.0
88,416,4,9: Multi-line Strings,By now you should realize the pattern for this book is to use more than one exercise to teach you something new.,0.0
89,417,4,10: Escape Codes in Strings,"In Exercise 9 I threw you some new stuff, just to keep you on your toes.",0.0
90,418,4,11: Asking People Questions,Now it is time to pick up the pace.,0.0
91,419,4,12: An Easier Way to Prompt,"When you typed `input()` you were typing the `(` and `)` characters, which are `parenthesis` characters.",0.0
92,420,4,"13: Parameters, Unpacking, Variables",We're now going to take a quick detour into the world of the `Terminal` (aka `PowerShell`) version of `python`.,1917.634
93,421,4,14: Prompting and Passing,Let's do an exercise that uses `argv` and `input` together to ask the user something specific.,0.0
94,422,4,15: Reading Files,You know how to get input from a user with `input` or `argv`.,0.0
95,423,4,16: Reading and Writing Files,"If you did the Study Drills from the last exercise, you should have seen all sorts of commands (methods/functions) you can give to files.",0.0
96,424,4,17: More Files,Now let's do a few more things with files.,0.0
97,425,5,"18: Names, Variables, Code, Functions","Big title, right? I am about to introduce you to *the function*! Dum dum dah! Every programmer will go on and on about functions and all the different ideas about how they work and what they do, but I will give you the simplest explanation you can use right now.",0.0
98,426,5,19: Functions and Variables,You're now going to combine functions with what you know of variables from previous exercises.,0.0
99,427,5,20: Functions and Files,"Remember your checklist for functions, then do this exercise paying close attention to how functions and files can work together to make useful stuff.",0.0
100,428,5,21: Functions Can Return Something,You have been using the `=` character to name variables and set them to numbers or strings.,0.0
101,429,5,"22: Strings, Bytes, and Character Encodings",To do this exercise you'll need to *download* a text file that I've written named `languages.,0.0
102,430,5,23: Introductory Lists,Most programming languages have some way to store data inside the computer.,0.0
103,431,5,24: Introductory Dictionaries,In this exercise we'll use the same data from the previous exercise on `list`s and use it to learn about `Dictionaries` or `dict`s.,0.0
104,432,5,25: Dictionaries and Functions,In this exercise we're going to do something fun by combining functions with `dict`s.,0.0
105,433,5,26: Dictionaries and Modules,In this exercise you're going to explore how the `dict` works with modules.,0.0
106,434,5,27: The 5 Simple Rules to the Game of Code,This exercise is intended to be studied periodically while you study the next exercises.,0.0
107,435,5,28: Memorizing Logic,Today is the day you start learning about logic.,0.0
108,436,5,29: Boolean Practice,"The logic combinations you learned from the last exercise are called ""Boolean"" logic expressions.",0.0
109,437,5,30: What If,"Here is the next script of Python you will enter, which introduces you to the `if-statement`.",0.0
110,438,5,31: Else and If,In the last exercise you worked out some `if-statements` and then tried to guess what they are and how they work.,0.0
111,439,5,32: Making Decisions,"In the first half of this book you mostly just printed out things called functions, but everything was basically in a straight line.",0.0
112,440,5,33: Loops and Lists,You should now be able to do some programs that are much more interesting.,0.0
113,441,5,34: While Loops,"Now to totally blow your mind with a new loop, the `while-loop`.",0.0
114,442,5,35: Branches and Functions,"You have learned `if-statements`, functions, and lists.",0.0
115,443,5,36: Designing and Debugging,"Now that you know `if-statements`, I'm going to give you some rules for `for-loops` and `while-loops` that will keep you out of trouble.",0.0
116,444,5,37: Symbol Review,It's time to review the symbols and Python words you know and to try to pick up a few more for the next few lessons.,0.0
117,445,6,38: Beyond Jupyter for Windows,Jupyter is a great environment for interactive analysis.,0.0
118,446,6,39: Beyond Jupyter for macOS/Linux,Jupyter is a great environment for interactive analysis.,0.0
119,447,6,40: Advanced Developer Tools,"This exercise is all about avoiding ""footguns.",0.0
120,448,6,41: A Project Skeleton,"This exercise is completely optional, but useful if you want to create your own package to use in other projects.",0.0
121,449,6,42: Doing Things to Lists,You have learned about lists.,0.0
122,450,6,43: Doing Things to Dictionaries,You are now going to learn about the Dictionary data structure in Python.,0.0
123,451,6,44: From Dictionaries to Objects,You should review the following exercises before doing this one:  * _[Exercise 24](/client/#/lesson/431/the-basics-of-programming-lesson-24-introductory-dictionaries/) Introductory Dictionaries_ to refresh your understanding of Dictionaries.,0.0
124,452,6,45: Basic Object Oriented Programming,In _Exercise 44_ you learned how to use a function to create special `dict` containers with functions attached to them.,0.0
125,453,6,46: Inheritance and Advanced OOP,An important concept that you have to understand is the difference between a class and an object.,0.0
126,454,6,47: Basic Object-Oriented Analysis and Design,"I'm going to describe a process to use when you want to build something using Python, specifically with object-oriented programming (OOP).",0.0
127,455,6,48: Inheritance Versus Composition,In the fairy tales about heroes defeating evil villains there's always a dark forest of some kind.,0.0
128,456,6,49: You Make a Game,You need to start learning to feed yourself.,0.0
129,457,6,50: Automated Testing,This final exercise of Module 3 will teach you how to create automated tests.,0.0
130,458,7,51: What is Data Munging?,At this point in the course you know Python.,0.0
131,459,7,52: Scraping Data from the Web,The two most popular uses of Python are _Data Science_ and _Web Scraping_ because web scraping typically feeds data to your data science pipeline.,0.0
132,460,7,53: Getting Data from APIs,In this exercise you'll access the _Application Programmer Interface (API)_ I use for my [learncodethehardway.,0.0
133,461,7,54: Data Conversion with Pandas,We'll now explore [Pandas](https://pandas.,0.0
134,462,7,55: How to Read Documentation (featuring Pandas),This exercise is going to teach two very important skills.,0.0
135,463,7,56: Using Only Pandas,In this exercise you'll take the mess of random scripts you've made and create one clean tool that uses only Pandas for the entire process.,0.0
136,464,7,57: The SQL Crash Course,"You can't do science without data, and the most widely used language for storing and managing data is SQL.",0.0
137,465,7,58: SQL Normalization,In the previous exercise we explored SQL basics using the [European Central Bank's](https://www.,0.0
138,466,7,59: SQL Relationships,Our final exercise is going to cover the concept of relations in SQL.,0.0
139,467,7,60: Advice from An Even Older Programmer,Imagine it's 1820 and you want a nice portrait of your mother.,0.0
140,9712,651,J.1 Unspecified behavior,The manner and timing of static initialization (5.,0.0
141,9713,651,1st Edition Errata,The following errors were found after printing of the 1st edition of *Learn C The Hard Way*.,0.0
142,9714,651,Exercise 0: The Setup,"The traditional first exercise, exercises 0, is where you setup your computer for the rest of this book.",0.0
143,9715,651,Exercise 1: Dust Off That Compiler,"Note:* I mention a ""PDF"" in the video but that's not available anymore.",1157.12
144,9716,651,Exercise 10: Switch Statements,"In other languages like Ruby, you have a `switch-statement` that can take any expression.",531.482
145,9717,651,Exercise 11: Arrays and Strings,"This exercise shows you that C stores its strings simply as an array of bytes, terminated with the `'\0'` (nul) byte.",521.381
146,9718,651,Exercise 12: Sizes and Arrays,"In the last exercise, you did math but with a `'\0'` (nul) character.",550.104
147,9719,651,Exercise 13: For-Loops and Arrays of Strings,You can make an array of various types with the idea that a string and an array of bytes are the same thing.,359.654
148,9720,651,Exercise 14: Writing and Using Functions,"Up until now, we've just used functions that are part of the `stdio.",841.608
149,9721,651,"Exercise 15: Pointers, Dreaded Pointers",Pointers are famous mystical creatures in C.,2436.215
150,9722,651,Exercise 16: Structs And Pointers To Them,"In this exercise, you'll learn how to make a `struct`, point a pointer at it, and use it to make sense of internal memory structures.",1180.549
151,9723,651,Exercise 17: Heap and Stack Memory Allocation,"In this exercise, you're going to make a big leap in difficulty and create an entire small program to manage a database.",853.009
152,9724,651,Exercise 18: Pointers to Functions,Functions in C are actually just pointers to a spot in the program where some code exists.,736.421
153,9725,651,Exercise 19: Zed's Awesome Debug Macros,"There's a reoccurring problem in C that we've been dancing around, but I'm going to solve it in this exercise using a set of macros I developed.",1224.482
154,9726,651,Exercise 2: Using Makefiles to Build,We're going to use a program called `make` to simplify building your exercise code.,551.312
155,9727,651,Exercise 20: Advanced Debugging Techniques,"I've already taught you about my awesome debug macros, and you've been using them.",1086.346
